id,name,latitude,longitude,dep_count,dep_mean,dep_min,dep_max,dep_median,arr_count,arr_mean,arr_min,arr_max,arr_median,statusValue,totalDocks
150,E 2 St & Avenue C,40.7208736,-73.98085795,19980,771.459109109,60,21295,642.0,20240,821.242934783,60,18553,685.0,In Service,31
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,70276,810.566324207,60,21237,611.0,69630,846.661051271,60,21555,658.0,In Service,33
152,Warren St & Church St,40.71473993,-74.00910627,19113,875.585622351,60,20430,667.0,19670,894.012506355,60,21412,683.0,In Service,29
153,E 40 St & 5 Ave,40.75206231,-73.9816324,27703,702.294372451,60,20476,521.0,26150,797.087686424,60,21340,619.0,In Service,55
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,12141,970.38028169,60,21592,632.0,12715,1000.02225718,60,20749,675.0,In Service,23
160,E 37 St & Lexington Ave,40.748238,-73.978311,20430,727.431620166,60,20696,575.0,20579,793.003644492,60,21153,627.0,In Service,26
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,42311,721.249840466,60,21481,559.0,42766,731.50313333,60,21189,571.0,In Service,35
164,E 47 St & 2 Ave,40.75323098,-73.97032517,23655,819.703107166,60,21571,681.0,23594,779.800033907,60,21456,656.0,In Service,47
167,E 39 St & 3 Ave,40.7489006,-73.97604882,33871,735.800773523,60,21325,569.0,33313,774.563143518,60,21347,622.0,In Service,45
168,W 18 St & 6 Ave,40.73971301,-73.99456405,52753,687.105813887,60,21173,557.0,54568,660.620968333,60,21463,531.0,In Service,47
173,Broadway & W 49 St,40.76064679,-73.98442659,38140,875.90031463,60,21499,548.5,37930,882.166543633,60,21127,550.0,In Service,51
174,E 25 St & 1 Ave,40.7381765,-73.97738662,28967,766.418648807,60,20515,649.0,29096,744.72796948,60,20906,610.0,In Service,30
195,Liberty St & Broadway,40.70905623,-74.01043382,27527,985.229774403,60,21046,769.0,26962,1047.60032639,61,21046,855.0,In Service,45
212,W 16 St & The High Line,40.74334935,-74.00681753,26281,814.109546821,60,21474,619.0,26411,881.758585438,60,21437,673.0,In Service,28
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,6233,1232.82047168,61,20675,924.0,5054,1229.20122675,62,20205,917.0,In Service,23
217,Old Fulton St,40.70277159,-73.99383605,19356,1605.99860508,60,21480,1375.0,20009,1519.05872357,60,21286,1173.0,In Service,39
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105,4350,860.663678161,62,14678,643.0,5118,1017.28702618,62,17950,743.0,In Service,34
223,W 13 St & 7 Ave,40.73781509,-73.99994661,34280,664.098220537,60,21087,502.0,34666,614.509519414,60,21175,472.0,In Service,33
224,Spruce St & Nassau St,40.71146364,-74.00552427,19276,997.452946669,60,20993,730.0,19181,946.058756061,60,20602,706.0,In Service,31
225,W 14 St & The High Line,40.74195138,-74.00803013,30598,1149.39639846,60,21209,925.0,33542,1177.8630672,60,21496,947.0,In Service,37
228,E 48 St & 3 Ave,40.7546011,-73.97187886,23436,846.613457928,62,20387,694.0,23993,760.056224732,61,20565,620.0,In Service,55
229,Great Jones St,40.72743423,-73.99379025,32278,670.792242394,60,20777,505.0,33498,678.246910263,60,21481,512.0,In Service,23
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,8862,1323.26483864,60,20949,1124.0,9168,1600.98374782,60,20262,1492.5,Not In Service,23
233,Joralemon St & Adams St,40.69246277,-73.98963911,5869,948.917021639,61,16999,682.0,5343,1014.69567659,60,19449,767.0,In Service,38
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,43118,723.515585138,60,19109,555.0,42704,730.497002623,60,21262,575.0,In Service,39
237,E 11 St & 2 Ave,40.73047309,-73.98672378,42479,700.209797782,60,20717,536.0,42900,728.874685315,60,20379,571.0,In Service,39
238,Bank St & Washington St,40.7361967,-74.00859207,24001,858.280279988,60,19595,688.0,23933,934.858020307,60,21547,743.0,In Service,31
239,Willoughby St & Fleet St,40.69196566,-73.9813018,9679,521.038020457,60,18215,348.0,8913,476.41658252,60,19071,321.0,In Service,31
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,7826,698.785458727,61,20717,396.0,6805,718.896546657,61,21382,457.0,In Service,23
